,id,intakedate,intakereason,sheltercode,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype
4839,59540,2018-05-18 16:55:17,Stray,C1805511,Domestic Medium Hair,Orange,Cat,9 months.,Male,Cat room A,2018-06-07 00:00:00,Adoption
4858,59566,2018-05-19 12:13:39,Stray,C1805514,Domestic Medium Hair,Orange,Cat,2 years 9 months.,Male,Adoptable Cat Small Colony,2018-06-06 00:00:00,Adoption
4859,59567,2018-05-19 12:34:41,Biting,C1805051,Domestic Medium Hair,White mix,Cat,4 years 0 months.,Male,Cat room C,2018-06-05 00:00:00,Transfer
4861,59569,2018-05-19 13:23:42,Abandoned,C1805508,Domestic Medium Hair,Orange,Cat,3 years 3 months.,Male,Adoptable Cat Kennels,2018-05-19 00:00:00,Reclaimed
4862,59569,2018-05-19 13:23:42,Abandoned,C1805508,Domestic Medium Hair,Orange,Cat,3 years 3 months.,Male,Adoptable Cat Kennels,2018-06-09 00:00:00,Adoption
4865,59573,2018-05-20 14:53:43,Stray,C1805518,Domestic Short Hair,Grey,Cat,1 year 1 month.,Female,Adoptable window colony,2018-05-24 00:00:00,Foster
4866,59573,2018-05-20 14:53:43,Stray,C1805518,Domestic Short Hair,Grey,Cat,1 year 1 month.,Female,Adoptable window colony,2018-07-03 00:00:00,Adoption
4869,59575,2018-05-21 09:13:36,Stray,C1805519,Domestic Long Hair,Grey,Cat,2 years 8 months.,Male,Feline intake room,2018-05-21 00:00:00,Reclaimed
4870,59576,2018-05-21 12:40:39,Incompatible with owner lifestyle,C1805509,Domestic Long Hair,Orange,Cat,7 months.,Male,Adoptable Cat Kennels,2018-05-25 00:00:00,Adoption
4871,59577,2018-05-21 12:43:29,Incompatible with owner lifestyle,C1805512,Domestic Short Hair,White mix,Cat,7 months.,Male,Adoptable Cat Glass Colony,2018-05-26 00:00:00,Adoption
4873,59579,2018-05-21 13:32:42,Litter relinquishment,C1805515,Domestic Medium Hair,Black,Cat,7 months.,Male,Adoptable window colony,2018-05-25 00:00:00,Foster
4874,59579,2018-05-21 13:32:42,Litter relinquishment,C1805515,Domestic Medium Hair,Black,Cat,7 months.,Male,Adoptable window colony,2018-06-12 00:00:00,Adoption
4875,59580,2018-05-21 13:32:42,Litter relinquishment,C1805516,Domestic Long Hair,Orange,Cat,7 months.,Male,Adoptable window colony,2018-05-25 00:00:00,Foster
4876,59580,2018-05-21 13:32:42,Litter relinquishment,C1805516,Domestic Long Hair,Orange,Cat,7 months.,Male,Adoptable window colony,2018-06-12 00:00:00,Adoption
4877,59581,2018-05-21 13:32:42,Litter relinquishment,C1805517,Domestic Long Hair,Black and other colours mix,Cat,7 months.,Male,Adoptable window colony,2018-05-25 00:00:00,Foster
4878,59581,2018-05-21 13:32:42,Litter relinquishment,C1805517,Domestic Long Hair,Black and other colours mix,Cat,7 months.,Male,Adoptable window colony,2018-06-12 00:00:00,Adoption
4879,59582,2018-05-21 13:32:42,Litter relinquishment,C1805520,Domestic Short Hair,Orange,Cat,7 months.,Male,Adoptable window colony,2018-05-25 00:00:00,Foster
4880,59582,2018-05-21 13:32:42,Litter relinquishment,C1805520,Domestic Short Hair,Orange,Cat,7 months.,Male,Adoptable window colony,2018-06-12 00:00:00,Adoption
4881,59583,2018-05-21 13:47:06,Moving,C1805521,Domestic Short Hair,Designer colors,Cat,4 years 0 months.,Female,Adoptable window colony,2018-06-05 00:00:00,Adoption
4882,59584,2018-05-21 13:52:36,Moving,C1805522,Domestic Medium Hair,Orange,Cat,4 years 1 month.,Male,Adoptable window colony,2018-06-06 00:00:00,Adoption
4884,59586,2018-05-21 15:59:12,Stray,C1805523,Domestic Short Hair,Orange,Cat,2 years 6 months.,Male,Cat room C,2018-05-21 00:00:00,Reclaimed
4885,59587,2018-05-21 16:09:39,Litter relinquishment,C1805524,Domestic Short Hair,White mix,Cat,7 months.,Male,Adoptable Cat Kennels,2018-05-22 00:00:00,Foster
4886,59587,2018-05-21 16:09:39,Litter relinquishment,C1805524,Domestic Short Hair,White mix,Cat,7 months.,Male,Adoptable Cat Kennels,2018-07-12 00:00:00,Adoption
4887,59588,2018-05-21 16:09:39,Litter relinquishment,C1805525,Domestic Short Hair,Grey,Cat,1 year 4 months.,Female,Adoptable Cat Kennels,2018-05-22 00:00:00,Foster
4888,59588,2018-05-21 16:09:39,Litter relinquishment,C1805525,Domestic Short Hair,Grey,Cat,1 year 4 months.,Female,Adoptable Cat Kennels,2018-07-08 00:00:00,Adoption
4889,59589,2018-05-22 09:40:36,Stray,C1805526,Domestic Short Hair,Multi colours,Cat,2 years 11 months.,Female,Cat Iso,2018-05-26 00:00:00,Foster
4890,59589,2018-05-22 09:40:36,Stray,C1805526,Domestic Short Hair,Multi colours,Cat,2 years 11 months.,Female,Cat Iso,2018-08-02 00:00:00,Transfer
4891,59590,2018-05-22 09:40:36,Stray,C1805527,Domestic Short Hair,Multi colours,Cat,1 year 11 months.,Female,Adoptable Cat Big Colony,2018-05-26 00:00:00,Foster
4892,59590,2018-05-22 09:40:36,Stray,C1805527,Domestic Short Hair,Multi colours,Cat,1 year 11 months.,Female,Adoptable Cat Big Colony,2018-09-07 00:00:00,Adoption
4893,59591,2018-05-22 09:40:36,Stray,C1805528,Domestic Short Hair,Brown,Cat,1 year 0 months.,Female,Adoptable window colony,2018-05-26 00:00:00,Foster
4894,59591,2018-05-22 09:40:36,Stray,C1805528,Domestic Short Hair,Brown,Cat,1 year 0 months.,Female,Adoptable window colony,2018-07-03 00:00:00,Foster
4895,59591,2018-05-22 09:40:36,Stray,C1805528,Domestic Short Hair,Brown,Cat,1 year 0 months.,Female,Adoptable window colony,2018-07-18 00:00:00,Foster
4896,59591,2018-05-22 09:40:36,Stray,C1805528,Domestic Short Hair,Brown,Cat,1 year 0 months.,Female,Adoptable window colony,2018-08-16 00:00:00,Adoption
4897,59592,2018-05-22 09:40:36,Stray,C1805529,Domestic Short Hair,White mix,Cat,1 year 0 months.,Female,Feline intake room,2018-05-26 00:00:00,Foster
4898,59592,2018-05-22 09:40:36,Stray,C1805529,Domestic Short Hair,White mix,Cat,1 year 0 months.,Female,Feline intake room,2018-07-03 00:00:00,Foster
4899,59592,2018-05-22 09:40:36,Stray,C1805529,Domestic Short Hair,White mix,Cat,1 year 0 months.,Female,Feline intake room,2018-07-18 00:00:00,Foster
4900,59592,2018-05-22 09:40:36,Stray,C1805529,Domestic Short Hair,White mix,Cat,1 year 0 months.,Female,Feline intake room,2018-08-16 00:00:00,Adoption
4901,59592,2018-05-22 09:40:36,Stray,C1805529,Domestic Short Hair,White mix,Cat,1 year 0 months.,Female,Feline intake room,2018-09-18 00:00:00,Reclaimed
4902,59593,2018-05-22 09:40:36,Stray,C1805530,Domestic Short Hair,Black and other colours mix,Cat,1 year 0 months.,Male,Cat Iso,2018-05-26 00:00:00,Foster
4903,59593,2018-05-22 09:40:36,Stray,C1805530,Domestic Short Hair,Black and other colours mix,Cat,1 year 0 months.,Male,Cat Iso,2018-07-03 00:00:00,Foster
4904,59593,2018-05-22 09:40:36,Stray,C1805530,Domestic Short Hair,Black and other colours mix,Cat,1 year 0 months.,Male,Cat Iso,2018-07-14 00:00:00,Foster
4905,59593,2018-05-22 09:40:36,Stray,C1805530,Domestic Short Hair,Black and other colours mix,Cat,1 year 0 months.,Male,Cat Iso,2019-02-26 00:00:00,Adoption
4906,59594,2018-05-22 09:40:36,Stray,C1805531,Domestic Short Hair,Black and other colours mix,Cat,6 months.,Female,Cat Iso,2018-05-26 00:00:00,Foster
4907,59594,2018-05-22 09:40:36,Stray,C1805531,Domestic Short Hair,Black and other colours mix,Cat,6 months.,Female,Cat Iso,2018-07-03 00:00:00,Foster
4908,59594,2018-05-22 09:40:36,Stray,C1805531,Domestic Short Hair,Black and other colours mix,Cat,6 months.,Female,Cat Iso,2018-07-13 00:00:00,Foster
4909,59595,2018-05-22 12:12:11,Stray,C1805532,Domestic Short Hair,Black and other colours mix,Cat,7 years 6 months.,Male,Adoptable Cat Kennels,2018-06-06 00:00:00,Adoption
4912,59598,2018-05-22 15:25:40,Stray,C1805370,Domestic Short Hair,Black,Cat,11 months.,Male,Lobby,2018-05-23 00:00:00,Foster
4913,59598,2018-05-22 15:25:40,Stray,C1805370,Domestic Short Hair,Black,Cat,11 months.,Male,Lobby,2018-07-25 00:00:00,Foster
4914,59598,2018-05-22 15:25:40,Stray,C1805370,Domestic Short Hair,Black,Cat,11 months.,Male,Lobby,2018-08-18 00:00:00,Adoption
4915,59599,2018-05-22 15:25:47,Incompatible with owner lifestyle,C1805533,Domestic Short Hair,Black and other colours mix,Cat,1 year 11 months.,Male,Cat room B,2018-05-25 00:00:00,Reclaimed
4916,59600,2018-05-22 15:25:40,Stray,C1805371,Domestic Short Hair,Black and other colours mix,Cat,7 months.,Female,Adoptable window colony,2018-05-23 00:00:00,Foster
4917,59600,2018-05-22 15:25:40,Stray,C1805371,Domestic Short Hair,Black and other colours mix,Cat,7 months.,Female,Adoptable window colony,2018-07-25 00:00:00,Foster
4918,59600,2018-05-22 15:25:40,Stray,C1805371,Domestic Short Hair,Black and other colours mix,Cat,7 months.,Female,Adoptable window colony,2018-08-22 00:00:00,Adoption
4919,59601,2018-05-22 15:25:40,Stray,C1805372,Domestic Short Hair,Black and other colours mix,Cat,7 months.,Female,Lobby,2018-05-23 00:00:00,Foster
4920,59601,2018-05-22 15:25:40,Stray,C1805372,Domestic Short Hair,Black and other colours mix,Cat,7 months.,Female,Lobby,2018-07-25 00:00:00,Foster
4921,59601,2018-05-22 15:25:40,Stray,C1805372,Domestic Short Hair,Black and other colours mix,Cat,7 months.,Female,Lobby,2018-08-17 00:00:00,Adoption
4922,59602,2018-05-22 15:25:40,Stray,C1805373,Domestic Short Hair,Black,Cat,7 months.,Female,Lobby,2018-05-23 00:00:00,Foster
4923,59602,2018-05-22 15:25:40,Stray,C1805373,Domestic Short Hair,Black,Cat,7 months.,Female,Lobby,2018-07-25 00:00:00,Foster
4924,59602,2018-05-22 15:25:40,Stray,C1805373,Domestic Short Hair,Black,Cat,7 months.,Female,Lobby,2018-08-21 00:00:00,Adoption
4925,59605,2018-05-22 17:02:01,Stray,C1805534,Domestic Medium Hair,Black and other colours mix,Cat,6 months.,Male,Adoptable window colony,2018-05-22 00:00:00,Foster
4926,59605,2018-05-22 17:02:01,Stray,C1805534,Domestic Medium Hair,Black and other colours mix,Cat,6 months.,Male,Adoptable window colony,2018-07-30 00:00:00,Foster
4927,59605,2018-05-22 17:02:01,Stray,C1805534,Domestic Medium Hair,Black and other colours mix,Cat,6 months.,Male,Adoptable window colony,2018-08-12 00:00:00,Adoption
4928,59606,2018-05-22 17:02:01,Stray,C1805535,Domestic Medium Hair,White mix,Cat,6 weeks.,Female,Canine intake room,2018-05-22 00:00:00,Foster
4929,59607,2018-05-22 17:02:01,Stray,C1805536,Domestic Medium Hair,Grey,Cat,1 year 0 months.,Female,Adoptable Cat Middle Colony,2018-05-22 00:00:00,Foster
4930,59607,2018-05-22 17:02:01,Stray,C1805536,Domestic Medium Hair,Grey,Cat,1 year 0 months.,Female,Adoptable Cat Middle Colony,2018-07-20 00:00:00,Adoption
4931,59608,2018-05-22 17:02:01,Stray,C1805537,Domestic Medium Hair,Orange,Cat,6 months.,Male,Adoptable Cat Middle Colony,2018-05-22 00:00:00,Foster
4932,59608,2018-05-22 17:02:01,Stray,C1805537,Domestic Medium Hair,Orange,Cat,6 months.,Male,Adoptable Cat Middle Colony,2018-07-15 00:00:00,Adoption
4933,59609,2018-05-22 17:33:59,Biting,C1805538,Domestic Short Hair,Black and other colours mix,Cat,7 years 1 month.,Male,Cat obs,2018-06-05 00:00:00,Transfer
4934,59610,2018-05-22 17:55:23,Stray,C1805539,Domestic Short Hair,Black,Cat,1 year 6 months.,Female,Adoptable Cat Small Colony,2018-07-19 00:00:00,Adoption
4938,59613,2018-05-23 09:12:22,Stray,C1805540,Domestic Short Hair,Black and other colours mix,Cat,4 weeks.,Male,Cat room A,2018-05-25 00:00:00,Foster
4939,59614,2018-05-23 09:12:22,Stray,C1805541,Domestic Short Hair,Black,Cat,6 months.,Female,Adoptable Cat Kennels,2018-05-25 00:00:00,Foster
4940,59614,2018-05-23 09:12:22,Stray,C1805541,Domestic Short Hair,Black,Cat,6 months.,Female,Adoptable Cat Kennels,2018-07-06 00:00:00,Adoption
4941,59615,2018-05-23 09:12:22,Stray,C1805542,Domestic Short Hair,Grey,Cat,6 months.,Female,Cat room A,2018-05-25 00:00:00,Foster
4942,59615,2018-05-23 09:12:22,Stray,C1805542,Domestic Short Hair,Grey,Cat,6 months.,Female,Cat room A,2018-07-03 00:00:00,Adoption
4943,59617,2018-05-23 12:21:15,Litter relinquishment,C1805543,Domestic Short Hair,Black and other colours mix,Cat,2 years 1 month.,Female,Adoptable Cat Big Colony,2018-07-06 00:00:00,Adoption
4944,59618,2018-05-23 12:21:15,Litter relinquishment,C1805544,Domestic Short Hair,Black and other colours mix,Cat,8 months.,Male,Adoptable Cat Glass Colony,2018-05-29 00:00:00,Adoption
4945,59619,2018-05-23 12:21:15,Litter relinquishment,C1805545,Domestic Short Hair,Black,Cat,8 months.,Male,Adoptable Cat Glass Colony,2018-05-26 00:00:00,Adoption
4946,59620,2018-05-23 12:21:15,Litter relinquishment,C1805546,Domestic Short Hair,Black,Cat,1 year 4 months.,Male,Adoptable Cat Glass Colony,2018-05-26 00:00:00,Adoption
4947,59621,2018-05-23 12:21:15,Litter relinquishment,C1805547,Domestic Short Hair,Multi colours,Cat,8 months.,Female,Cat room A,2018-05-25 00:00:00,Adoption
4948,59622,2018-05-23 12:49:45,Litter relinquishment,C1805548,Domestic Short Hair,Black and other colours mix,Cat,11 weeks.,Male,Cat Iso,2018-05-26 00:00:00,Foster
4949,59622,2018-05-23 12:49:45,Litter relinquishment,C1805548,Domestic Short Hair,Black and other colours mix,Cat,11 weeks.,Male,Cat Iso,2018-07-03 00:00:00,Foster
4950,59622,2018-05-23 12:49:45,Litter relinquishment,C1805548,Domestic Short Hair,Black and other colours mix,Cat,11 weeks.,Male,Cat Iso,2018-07-13 00:00:00,Foster
4951,59623,2018-05-23 12:49:45,Litter relinquishment,C1805549,Domestic Short Hair,Black and other colours mix,Cat,9 months.,Male,Cat Iso,2018-05-26 00:00:00,Foster
4952,59623,2018-05-23 12:49:45,Litter relinquishment,C1805549,Domestic Short Hair,Black and other colours mix,Cat,9 months.,Male,Cat Iso,2018-07-03 00:00:00,Foster
4953,59623,2018-05-23 12:49:45,Litter relinquishment,C1805549,Domestic Short Hair,Black and other colours mix,Cat,9 months.,Male,Cat Iso,2018-07-13 00:00:00,Foster
4954,59623,2018-05-23 12:49:45,Litter relinquishment,C1805549,Domestic Short Hair,Black and other colours mix,Cat,9 months.,Male,Cat Iso,2019-02-26 00:00:00,Adoption
4955,59624,2018-05-23 12:49:45,Litter relinquishment,C1805550,Domestic Short Hair,Designer colors,Cat,8 months.,Male,Adoptable window colony,2018-05-26 00:00:00,Foster
4956,59624,2018-05-23 12:49:45,Litter relinquishment,C1805550,Domestic Short Hair,Designer colors,Cat,8 months.,Male,Adoptable window colony,2018-07-03 00:00:00,Foster
4957,59624,2018-05-23 12:49:45,Litter relinquishment,C1805550,Domestic Short Hair,Designer colors,Cat,8 months.,Male,Adoptable window colony,2018-07-18 00:00:00,Foster
4958,59624,2018-05-23 12:49:45,Litter relinquishment,C1805550,Domestic Short Hair,Designer colors,Cat,8 months.,Male,Adoptable window colony,2018-08-17 00:00:00,Adoption
4959,59625,2018-05-23 13:17:32,Stray,C1805551,Domestic Short Hair,Multi colours,Cat,7 months.,Female,Lobby,2018-06-02 00:00:00,Foster
4960,59625,2018-05-23 13:17:32,Stray,C1805551,Domestic Short Hair,Multi colours,Cat,7 months.,Female,Lobby,2018-06-27 00:00:00,Foster
4961,59625,2018-05-23 13:17:32,Stray,C1805551,Domestic Short Hair,Multi colours,Cat,7 months.,Female,Lobby,2018-08-01 00:00:00,Adoption
4967,59632,2018-05-22 10:47:54,Born in Shelter,C1805555,Domestic Short Hair,Multi colours,Cat,6 weeks.,Female,Cat room C,2018-05-26 00:00:00,Foster
4968,59632,2018-05-22 10:47:54,Born in Shelter,C1805555,Domestic Short Hair,Multi colours,Cat,6 weeks.,Female,Cat room C,2018-07-03 00:00:00,Foster
4969,59633,2018-05-22 10:47:54,Born in Shelter,C1805556,Domestic Short Hair,Black and other colours mix,Cat,1 year 1 month.,Male,Adoptable window colony,2018-05-26 00:00:00,Foster
4970,59633,2018-05-22 10:47:54,Born in Shelter,C1805556,Domestic Short Hair,Black and other colours mix,Cat,1 year 1 month.,Male,Adoptable window colony,2018-07-03 00:00:00,Foster
4971,59633,2018-05-22 10:47:54,Born in Shelter,C1805556,Domestic Short Hair,Black and other colours mix,Cat,1 year 1 month.,Male,Adoptable window colony,2018-07-18 00:00:00,Foster
4972,59633,2018-05-22 10:47:54,Born in Shelter,C1805556,Domestic Short Hair,Black and other colours mix,Cat,1 year 1 month.,Male,Adoptable window colony,2018-08-23 00:00:00,Adoption
4973,59634,2018-05-22 10:47:54,Born in Shelter,C1805557,Domestic Short Hair,White mix,Cat,12 weeks.,Female,Cat room A,2018-05-26 00:00:00,Foster
4974,59634,2018-05-22 10:47:54,Born in Shelter,C1805557,Domestic Short Hair,White mix,Cat,12 weeks.,Female,Cat room A,2018-07-03 00:00:00,Foster
4975,59634,2018-05-22 10:47:54,Born in Shelter,C1805557,Domestic Short Hair,White mix,Cat,12 weeks.,Female,Cat room A,2018-07-18 00:00:00,Foster
4976,59635,2018-05-24 11:42:55,Stray,C1805558,Domestic Short Hair,Black,Cat,1 year 3 months.,Female,Cat room C,2018-06-08 00:00:00,Adoption
4977,59636,2018-05-24 12:29:38,Stray,C1805559,Domestic Short Hair,Multi colours,Cat,8 years 5 months.,Female,Adoptable Cat Small Colony,2018-06-23 00:00:00,Adoption
4978,59638,2018-05-24 13:49:42,Stray,C1805378,Domestic Short Hair,Black,Cat,1 year 10 months.,Male,Adoptable Cat Kennels,2018-06-09 00:00:00,Adoption
4979,59639,2018-05-24 15:39:46,Stray,C1805560,Domestic Short Hair,Black and other colours mix,Cat,3 years 5 months.,Female,Adoptable Cat Big Colony,2018-06-27 00:00:00,Adoption
4987,59645,2018-05-25 17:48:20,Abandoned,C1805561,Domestic Short Hair,Black and other colours mix,Cat,3 years 0 months.,Female,Adoptable Cat Glass Colony,2018-07-05 00:00:00,Adoption
4988,59646,2018-05-25 17:48:20,Abandoned,C1805562,Domestic Short Hair,Black and other colours mix,Cat,1 year 6 months.,Female,Adoptable Cat Glass Colony,2018-07-05 00:00:00,Adoption
4989,59647,2018-05-25 17:53:21,Born in Shelter,C1805564,Domestic Short Hair,Black,Cat,2 weeks.,Unknown,Canine intake room,2018-05-21 00:00:00,Foster
4990,59648,2018-05-25 18:18:15,Stray,C1805565,Domestic Short Hair,Designer colors,Cat,3 years 0 months.,Female,Dog room C,2018-05-29 00:00:00,Reclaimed
4991,59649,2018-05-25 18:51:27,Abandoned,C1805563,Domestic Short Hair,Black and other colours mix,Cat,2 years 5 months.,Female,Adoptable Cat Glass Colony,2018-08-20 00:00:00,Adoption
4992,59650,2018-05-25 18:51:27,Abandoned,C1805566,Domestic Short Hair,Black and other colours mix,Cat,2 years 6 months.,Male,Adoptable Cat Big Colony,2018-09-04 00:00:00,Adoption
4993,59651,2018-05-25 18:51:27,Abandoned,C1805567,Domestic Short Hair,Black and other colours mix,Cat,2 years 6 months.,Male,Adoptable Cat Big Colony,2018-09-04 00:00:00,Adoption
4994,59652,2018-05-25 18:51:27,Abandoned,C1805568,Domestic Short Hair,Black and other colours mix,Cat,2 years 6 months.,Male,Adoptable Cat Glass Colony,2018-06-29 00:00:00,Adoption
4996,59654,2018-05-26 12:22:00,Incompatible with owner lifestyle,C1805570,Domestic Long Hair,Grey,Cat,2 years 6 months.,Male,Cat room B,2018-07-02 00:00:00,Adoption
4997,59655,2018-05-26 12:22:00,Incompatible with owner lifestyle,C1805571,Domestic Short Hair,Grey,Cat,2 years 6 months.,Female,Cat room B,2018-07-02 00:00:00,Adoption
5001,59660,2018-05-26 13:11:58,Police Assist,C1805379,Domestic Short Hair,White mix,Cat,17 years 6 months.,Female,Cat room C,2018-05-29 00:00:00,Reclaimed
5009,59667,2018-05-27 13:01:54,Stray,C1805569,Domestic Short Hair,Black,Cat,1 year 4 months.,Male,Adoptable Cat Big Colony,2018-07-03 00:00:00,Adoption
5010,59668,2018-05-27 13:04:15,Stray,C1805694,Domestic Short Hair,Black and other colours mix,Cat,1 year 4 months.,Female,Adoptable Cat Big Colony,2018-07-18 00:00:00,Adoption
5011,59669,2018-05-27 13:40:45,Stray,C1805572,Domestic Short Hair,Grey,Cat,11 months.,Female,Adoptable window colony,2018-05-31 00:00:00,Foster
5012,59669,2018-05-27 13:40:45,Stray,C1805572,Domestic Short Hair,Grey,Cat,11 months.,Female,Adoptable window colony,2018-06-26 00:00:00,Adoption
5013,59670,2018-05-27 13:43:16,Stray,C1805695,Domestic Short Hair,White mix,Cat,7 months.,Male,Adoptable window colony,2018-05-31 00:00:00,Foster
5014,59670,2018-05-27 13:43:16,Stray,C1805695,Domestic Short Hair,White mix,Cat,7 months.,Male,Adoptable window colony,2018-06-26 00:00:00,Adoption
5015,59671,2018-05-27 14:45:07,Stray,C1805573,Domestic Short Hair,Orange,Cat,1 year 11 months.,Female,Adoptable Cat Kennels,2018-06-13 00:00:00,Adoption
5016,59673,2018-05-28 07:43:20,Abandoned,C1805387,Domestic Short Hair,Black and other colours mix,Cat,1 year 2 months.,Female,Adoptable window colony,2018-06-06 00:00:00,Adoption
5017,59675,2018-05-28 10:30:40,Sick/Injured,C1805388,Domestic Short Hair,Multi colours,Cat,1 year 6 months.,Female,Adoptable Cat Glass Colony,2018-08-17 00:00:00,Adoption
5026,59680,2018-05-28 17:14:59,Unable to Afford,C1805579,Domestic Short Hair,Grey,Cat,1 year 6 months.,Female,Cat room C,2018-06-01 00:00:00,Adoption
5028,59683,2018-05-29 12:26:33,Stray,C1805574,Domestic Short Hair,Orange,Cat,1 year 3 months.,Male,Lobby,2018-06-01 00:00:00,Foster
5029,59683,2018-05-29 12:26:33,Stray,C1805574,Domestic Short Hair,Orange,Cat,1 year 3 months.,Male,Lobby,2018-06-27 00:00:00,Foster
5030,59683,2018-05-29 12:26:33,Stray,C1805574,Domestic Short Hair,Orange,Cat,1 year 3 months.,Male,Lobby,2018-08-03 00:00:00,Adoption
5031,59684,2018-05-29 12:26:33,Stray,C1805575,Domestic Medium Hair,Black,Cat,4 weeks.,Male,Cat room A,2018-06-01 00:00:00,Foster
5033,59686,2018-05-29 13:55:13,Unable to Afford,C1805580,Domestic Short Hair,Black,Cat,6 years 4 months.,Male,Canine intake room,2018-08-14 00:00:00,Stolen
5034,59687,2018-05-29 14:00:09,Stray,C1805576,Domestic Short Hair,Multi colours,Cat,1 year 10 months.,Female,Adoptable Cat Big Colony,2018-07-03 00:00:00,Adoption
5035,59688,2018-05-29 14:35:44,Moving,C1805581,Domestic Short Hair,Designer colors,Cat,1 year 5 months.,Male,Cat Iso,2018-07-03 00:00:00,Adoption
5036,59689,2018-05-29 15:22:25,Stray,C1805577,Domestic Short Hair,Black and other colours mix,Cat,2 years 11 months.,Male,Adoptable Cat Middle Colony,2018-05-30 00:00:00,Reclaimed
5037,59689,2018-05-29 15:22:25,Stray,C1805577,Domestic Short Hair,Black and other colours mix,Cat,2 years 11 months.,Male,Adoptable Cat Middle Colony,2018-06-03 00:00:00,Adoption
5044,59696,2018-05-30 11:05:35,Litter relinquishment,C1805583,Domestic Short Hair,Grey,Cat,7 months.,Female,Adoptable Cat Middle Colony,2018-05-30 00:00:00,Foster
5045,59696,2018-05-30 11:05:35,Litter relinquishment,C1805583,Domestic Short Hair,Grey,Cat,7 months.,Female,Adoptable Cat Middle Colony,2018-07-21 00:00:00,Adoption
5046,59697,2018-05-30 11:05:35,Litter relinquishment,C1805584,Domestic Short Hair,Multi colours,Cat,7 months.,Female,Adoptable Cat Middle Colony,2018-05-30 00:00:00,Foster
5047,59697,2018-05-30 11:05:35,Litter relinquishment,C1805584,Domestic Short Hair,Multi colours,Cat,7 months.,Female,Adoptable Cat Middle Colony,2018-07-13 00:00:00,Adoption
5048,59698,2018-05-30 11:05:35,Litter relinquishment,C1805585,Domestic Short Hair,Multi colours,Cat,7 months.,Female,Lobby,2018-05-30 00:00:00,Foster
5049,59698,2018-05-30 11:05:35,Litter relinquishment,C1805585,Domestic Short Hair,Multi colours,Cat,7 months.,Female,Lobby,2018-07-20 00:00:00,Adoption
5050,59699,2018-05-30 11:05:35,Litter relinquishment,C1805586,Domestic Long Hair,Designer colors,Cat,7 months.,Male,Lobby,2018-05-30 00:00:00,Foster
5051,59699,2018-05-30 11:05:35,Litter relinquishment,C1805586,Domestic Long Hair,Designer colors,Cat,7 months.,Male,Lobby,2018-07-21 00:00:00,Adoption
5052,59700,2018-05-30 11:05:35,Litter relinquishment,C1805587,Domestic Short Hair,Designer colors,Cat,7 months.,Male,Adoptable window colony,2018-05-30 00:00:00,Foster
5053,59700,2018-05-30 11:05:35,Litter relinquishment,C1805587,Domestic Short Hair,Designer colors,Cat,7 months.,Male,Adoptable window colony,2018-08-04 00:00:00,Adoption
5054,59701,2018-05-30 11:05:35,Litter relinquishment,C1805588,Domestic Short Hair,Designer colors,Cat,7 months.,Male,Adoptable window colony,2018-05-30 00:00:00,Foster
5055,59701,2018-05-30 11:05:35,Litter relinquishment,C1805588,Domestic Short Hair,Designer colors,Cat,7 months.,Male,Adoptable window colony,2018-08-04 00:00:00,Adoption
5056,59702,2018-05-30 11:05:35,Litter relinquishment,C1805589,Domestic Short Hair,Grey,Cat,7 months.,Female,Adoptable Cat Middle Colony,2018-05-30 00:00:00,Foster
5057,59702,2018-05-30 11:05:35,Litter relinquishment,C1805589,Domestic Short Hair,Grey,Cat,7 months.,Female,Adoptable Cat Middle Colony,2018-07-20 00:00:00,Adoption
5058,59703,2018-05-30 11:05:35,Litter relinquishment,C1805590,Domestic Short Hair,Multi colours,Cat,7 months.,Female,Adoptable Cat Middle Colony,2018-05-30 00:00:00,Foster
5059,59703,2018-05-30 11:05:35,Litter relinquishment,C1805590,Domestic Short Hair,Multi colours,Cat,7 months.,Female,Adoptable Cat Middle Colony,2018-07-14 00:00:00,Adoption
5061,59706,2018-05-30 12:38:35,Unsuitable Accommodation,C1805592,Domestic Short Hair,Black,Cat,1 year 7 months.,Female,Adoptable Cat Big Colony,2018-08-17 00:00:00,Adoption
5062,59707,2018-05-30 12:38:35,Unsuitable Accommodation,C1805593,Domestic Short Hair,Black,Cat,1 year 11 months.,Male,Adoptable Cat Big Colony,2018-08-03 00:00:00,Adoption
5063,59708,2018-05-30 12:38:35,Unsuitable Accommodation,C1805594,Domestic Short Hair,Black and other colours mix,Cat,1 year 5 months.,Unknown,Cat room B,2018-06-05 00:00:00,Transfer
5064,59709,2018-05-30 12:56:34,Incompatible with owner lifestyle,C1805595,Domestic Short Hair,Grey,Cat,2 years 11 months.,Female,Office,2018-07-08 00:00:00,Transfer
5065,59710,2018-05-30 13:38:20,Moving,C1805596,Domestic Short Hair,Black and other colours mix,Cat,2 years 5 months.,Male,Cat room C,2018-06-07 00:00:00,Transfer
5092,59739,2018-06-02 12:05:45,Incompatible with owner lifestyle,C1806610,Domestic Short Hair,Orange,Cat,5 years 5 months.,Male,Adoptable Cat Kennels,2018-06-18 00:00:00,Adoption
5093,59740,2018-06-02 12:37:26,Stray,C1806590,Domestic Medium Hair,Black and other colours mix,Cat,5 years 5 months.,Male,Cat room C,2018-06-05 00:00:00,Transfer
