,id,intakedate,intakereason,sheltercode,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype
539,55584,2017-04-20 16:15:15,Unsuitable Accommodation,C1704141,Domestic Short Hair,Black and other colours mix,Cat,3 years 7 months.,Female,Adoptable Cat Big Colony,2017-04-21 00:00:00,Foster
540,55584,2017-04-20 16:15:15,Unsuitable Accommodation,C1704141,Domestic Short Hair,Black and other colours mix,Cat,3 years 7 months.,Female,Adoptable Cat Big Colony,2017-05-19 00:00:00,Foster
541,55584,2017-04-20 16:15:15,Unsuitable Accommodation,C1704141,Domestic Short Hair,Black and other colours mix,Cat,3 years 7 months.,Female,Adoptable Cat Big Colony,2017-09-01 00:00:00,Adoption
542,55585,2017-04-20 16:19:47,Unsuitable Accommodation,C1704142,Domestic Short Hair,Black,Cat,1 year 7 months.,Female,Lobby,2017-05-15 00:00:00,Foster
543,55585,2017-04-20 16:19:47,Unsuitable Accommodation,C1704142,Domestic Short Hair,Black,Cat,1 year 7 months.,Female,Lobby,2017-06-09 00:00:00,Foster
544,55585,2017-04-20 16:19:47,Unsuitable Accommodation,C1704142,Domestic Short Hair,Black,Cat,1 year 7 months.,Female,Lobby,2017-06-18 00:00:00,Adoption
545,55586,2017-04-20 16:19:47,Unsuitable Accommodation,C1704143,Domestic Short Hair,Black and other colours mix,Cat,1 year 7 months.,Male,Adoptable Cat Kennels,2017-04-25 00:00:00,Foster
546,55586,2017-04-20 16:19:47,Unsuitable Accommodation,C1704143,Domestic Short Hair,Black and other colours mix,Cat,1 year 7 months.,Male,Adoptable Cat Kennels,2017-05-31 00:00:00,Adoption
547,55587,2017-04-20 16:19:47,Unsuitable Accommodation,C1704144,Domestic Short Hair,Black,Cat,3 years 2 months.,Female,Adoptable Cat Big Colony,2017-06-14 00:00:00,Foster
548,55587,2017-04-20 16:19:47,Unsuitable Accommodation,C1704144,Domestic Short Hair,Black,Cat,3 years 2 months.,Female,Adoptable Cat Big Colony,2017-08-17 00:00:00,Adoption
549,55588,2017-04-20 16:21:09,Unsuitable Accommodation,C1704145,Domestic Short Hair,Black,Cat,1 year 11 months.,Female,Adoptable Cat Glass Colony,2017-04-30 00:00:00,Adoption
550,55591,2017-04-20 16:36:16,Stray,C1704122,Domestic Short Hair,Black,Cat,1 year 7 months.,Female,Adoptable Cat Small Colony,2017-04-23 00:00:00,Foster
551,55591,2017-04-20 16:36:16,Stray,C1704122,Domestic Short Hair,Black,Cat,1 year 7 months.,Female,Adoptable Cat Small Colony,2017-06-23 00:00:00,Transfer
552,55592,2017-04-20 16:36:16,Stray,C1704123,Domestic Short Hair,Black,Cat,1 year 7 months.,Female,Lobby,2017-04-23 00:00:00,Foster
553,55592,2017-04-20 16:36:16,Stray,C1704123,Domestic Short Hair,Black,Cat,1 year 7 months.,Female,Lobby,2017-07-18 00:00:00,Adoption
560,55600,2017-04-21 13:01:04,Stray,C1704147,Domestic Short Hair,Grey,Cat,6 years 7 months.,Male,Special Care Cats,2017-05-05 00:00:00,Adoption
